WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
Tatro_006402			Tatro_004717					Tatro_004442
Tatro_001070			Tatro_001861					Tatro_004448
Tatro_000613			Tatro_005313					Tatro_004450
Tatro_006381			Tatro_006834					Tatro_004450
Tatro_008892			Tatro_002151					Tatro_004450
Tatro_002528			Tatro_008901					Tatro_004450
Tatro_000126			Tatro_006381					Tatro_004451
Tatro_006834			Tatro_003303					Tatro_004506
Tatro_006663			Tatro_002086					Tatro_004520
Tatro_000019			Tatro_011080					Tatro_004528
Tatro_002649			Tatro_007237					Tatro_004569
Tatro_007320			Tatro_010211					Tatro_004569
Tatro_011090			Tatro_001911					Tatro_004569
Tatro_011444			Tatro_004716					Tatro_004569
Tatro_002770			Tatro_003262					Tatro_004569
Tatro_002086			Tatro_007991					Tatro_004569
Tatro_009479			Tatro_005979					Tatro_004570
Tatro_009505			Tatro_006513					Tatro_004576
Tatro_004215			Tatro_006359					Tatro_004577
Tatro_007837			Tatro_011070					Tatro_004583
Tatro_000293			Tatro_000890					Tatro_004603
Tatro_002275			Tatro_008515					Tatro_004622
Tatro_011006			Tatro_006337					Tatro_004642
Tatro_005635			Tatro_005791					Tatro_004649
Tatro_006782			Tatro_007841					Tatro_004677
Tatro_003354			Tatro_009950					Tatro_004685
Tatro_002830			Tatro_010100					Tatro_004686
Tatro_002547			Tatro_010100					Tatro_004691
Tatro_010285			Tatro_010100					Tatro_004692
Tatro_003111			Tatro_010100					Tatro_004693
Tatro_006385			Tatro_004712					Tatro_004716
Tatro_011528			Tatro_002278					Tatro_004731
Tatro_005705			Tatro_005402					Tatro_004758
Tatro_008776			Tatro_001670					Tatro_004759
Tatro_009485			Tatro_004257					Tatro_004762
Tatro_000305			Tatro_002105					Tatro_004766
Tatro_001666			Tatro_006149					Tatro_004797
Tatro_012010			Tatro_010865					Tatro_004798
Tatro_000564			Tatro_001922					Tatro_004811
Tatro_002543			Tatro_005264					Tatro_004837
Tatro_007826			Tatro_001912					Tatro_004839
Tatro_003626			Tatro_003593					Tatro_004846
Tatro_004276			Tatro_011069					Tatro_004847
Tatro_007996			Tatro_003521					Tatro_004848
Tatro_010677			Tatro_004305					Tatro_004892
Tatro_001199			Tatro_007992					Tatro_004909
Tatro_007020			Tatro_003247					Tatro_004915
Tatro_005875			Tatro_006403					Tatro_004975
Tatro_002808			Tatro_011346					Tatro_004986
Tatro_000074			Tatro_004660					Tatro_005012
Tatro_009445			Tatro_005628					Tatro_005049
Tatro_001564			Tatro_002075					Tatro_005061
Tatro_007983			Tatro_006800					Tatro_005066
Tatro_008472			Tatro_000436					Tatro_005086
Tatro_011066			Tatro_003823					Tatro_005095
Tatro_001858			Tatro_011884					Tatro_005153
Tatro_006779			Tatro_010866					Tatro_005291
			Tatro_008472					Tatro_005297
			Tatro_001943					Tatro_005312
			Tatro_002910					Tatro_005313
			Tatro_002381					Tatro_005314
			Tatro_004525					Tatro_005337
			Tatro_008775					Tatro_005345
			Tatro_006512					Tatro_005348
			Tatro_006183					Tatro_005349
