WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
			Tatro_006735			Tatro_010233	Tatro_009518	Tatro_002402
			Tatro_005725			Tatro_010285	Tatro_009654	Tatro_002408
			Tatro_002305			Tatro_010293	Tatro_009973	Tatro_002443
			Tatro_001269			Tatro_010340	Tatro_009983	Tatro_002445
			Tatro_005366			Tatro_010572	Tatro_009983	Tatro_002461
			Tatro_003273			Tatro_010761	Tatro_009983	Tatro_002472
			Tatro_011709			Tatro_010792	Tatro_009983	Tatro_002474
			Tatro_009937			Tatro_010828	Tatro_010096	Tatro_002487
			Tatro_007527			Tatro_010842	Tatro_010098	Tatro_002504
			Tatro_008043			Tatro_010851	Tatro_010099	Tatro_002511
			Tatro_006082			Tatro_010854	Tatro_010146	Tatro_002513
			Tatro_003472			Tatro_010903	Tatro_010164	Tatro_002514
			Tatro_011478			Tatro_010905	Tatro_010185	Tatro_002521
			Tatro_008916			Tatro_011012	Tatro_010189	Tatro_002522
			Tatro_007520			Tatro_011028	Tatro_010212	Tatro_002523
			Tatro_003722			Tatro_011170	Tatro_010213	Tatro_002524
			Tatro_007444			Tatro_011181	Tatro_010214	Tatro_002525
			Tatro_006511			Tatro_011183	Tatro_010233	Tatro_002554
			Tatro_000787			Tatro_011199	Tatro_010286	Tatro_002555
			Tatro_010035			Tatro_011239	Tatro_010340	Tatro_002556
			Tatro_008430			Tatro_011243	Tatro_010572	Tatro_002597
			Tatro_009079			Tatro_011281	Tatro_010761	Tatro_002599
			Tatro_000776			Tatro_011394	Tatro_010791	Tatro_002605
			Tatro_001102			Tatro_011395	Tatro_010792	Tatro_002607
			Tatro_005165			Tatro_011398	Tatro_010798	Tatro_002612
			Tatro_010719			Tatro_011412	Tatro_010799	Tatro_002613
			Tatro_000545			Tatro_011421	Tatro_010802	Tatro_002639
			Tatro_007067			Tatro_011552	Tatro_010802	Tatro_002685
			Tatro_002559			Tatro_011626	Tatro_010802	Tatro_002687
			Tatro_005399			Tatro_011653	Tatro_010802	Tatro_002693
			Tatro_000328			Tatro_011776	Tatro_010806	Tatro_002698
			Tatro_003552			Tatro_011817	Tatro_010810	Tatro_002721
			Tatro_006023			Tatro_011838	Tatro_010812	Tatro_002727
			Tatro_005654			Tatro_011839	Tatro_010814	Tatro_002728
			Tatro_008943			Tatro_011871	Tatro_010814	Tatro_002732
			Tatro_001204			Tatro_011887	Tatro_010814	Tatro_002744
			Tatro_010713			Tatro_011903	Tatro_010814	Tatro_002745
			Tatro_010519			Tatro_011904	Tatro_010815	Tatro_002761
			Tatro_010520			Tatro_011910	Tatro_010829	Tatro_002764
			Tatro_007012			Tatro_011914	Tatro_010851	Tatro_002768
			Tatro_000821			Tatro_011987	Tatro_010854	Tatro_002769
			Tatro_003206			Tatro_012003	Tatro_010870	Tatro_002771
			Tatro_011560				Tatro_010905	Tatro_002773
			Tatro_004777				Tatro_010922	Tatro_002782
			Tatro_002455				Tatro_011012	Tatro_002797
			Tatro_002499				Tatro_011019	Tatro_002799
			Tatro_003808				Tatro_011065	Tatro_002807
			Tatro_010478				Tatro_011068	Tatro_002808
			Tatro_003235				Tatro_011183	Tatro_002809
			Tatro_004622				Tatro_011186	Tatro_002810
			Tatro_009840				Tatro_011199	Tatro_002811
			Tatro_004080				Tatro_011221	Tatro_002814
			Tatro_005767				Tatro_011235	Tatro_002816
			Tatro_008661				Tatro_011281	Tatro_002830
			Tatro_004884				Tatro_011377	Tatro_002831
			Tatro_009367				Tatro_011394	Tatro_002848
			Tatro_001710				Tatro_011395	Tatro_002852
			Tatro_000840				Tatro_011398	Tatro_002863
			Tatro_011731				Tatro_011412	Tatro_002895
			Tatro_011742				Tatro_011421	Tatro_002896
			Tatro_006410				Tatro_011552	Tatro_002901
			Tatro_002303				Tatro_011598	Tatro_002904
			Tatro_006098				Tatro_011626	Tatro_002911
			Tatro_005535				Tatro_011767	Tatro_002916
			Tatro_004314				Tatro_011817	Tatro_002918
			Tatro_011894				Tatro_011829	Tatro_002921
			Tatro_004896				Tatro_011838	Tatro_002927
			Tatro_005079				Tatro_011871	Tatro_002934
			Tatro_003249				Tatro_011887	Tatro_002935
			Tatro_002229				Tatro_011903	Tatro_002938
							Tatro_011910	Tatro_002939
							Tatro_011914	Tatro_002940
							Tatro_011947	Tatro_002956
							Tatro_011987	Tatro_002959
							Tatro_012008	Tatro_002961
								Tatro_003003
								Tatro_003006
								Tatro_003007
								Tatro_003010
								Tatro_003022
								Tatro_003029
								Tatro_003056
								Tatro_003057
								Tatro_003069
								Tatro_003069
								Tatro_003069
								Tatro_003069
								Tatro_003077
								Tatro_003093
								Tatro_003148
								Tatro_003167
								Tatro_003181
								Tatro_003185
								Tatro_003186
								Tatro_003251
								Tatro_003263
								Tatro_003290
								Tatro_003325
								Tatro_003346
								Tatro_003364
								Tatro_003367
								Tatro_003391
								Tatro_003392
								Tatro_003396
								Tatro_003398
								Tatro_003474
								Tatro_003511
								Tatro_003520
								Tatro_003532
								Tatro_003533
								Tatro_003548
								Tatro_003559
								Tatro_003610
								Tatro_003615
								Tatro_003621
								Tatro_003643
								Tatro_003644
								Tatro_003668
								Tatro_003669
								Tatro_003683
								Tatro_003688
								Tatro_003689
								Tatro_003716
								Tatro_003740
								Tatro_003742
								Tatro_003813
								Tatro_003814
								Tatro_003816
								Tatro_003826
								Tatro_003847
								Tatro_003856
								Tatro_003863
								Tatro_003880
								Tatro_003895
								Tatro_003916
								Tatro_003917
								Tatro_003946
								Tatro_003947
								Tatro_003974
								Tatro_003989
								Tatro_003990
								Tatro_004002
								Tatro_004013
								Tatro_004034
								Tatro_004070
								Tatro_004071
								Tatro_004072
								Tatro_004075
								Tatro_004090
								Tatro_004109
								Tatro_004110
								Tatro_004161
								Tatro_004166
								Tatro_004167
								Tatro_004197
								Tatro_004213
								Tatro_004221
								Tatro_004231
								Tatro_004234
								Tatro_004234
								Tatro_004234
								Tatro_004234
								Tatro_004268
								Tatro_004272
								Tatro_004279
								Tatro_004279
								Tatro_004279
								Tatro_004279
								Tatro_004313
								Tatro_004326
								Tatro_004364
								Tatro_004390
								Tatro_004392
								Tatro_004394
								Tatro_004396
								Tatro_004409
								Tatro_004410
								Tatro_004425
								Tatro_004426
								Tatro_004428
								Tatro_004445
								Tatro_004456
								Tatro_004461
								Tatro_004463
								Tatro_004491
								Tatro_004508
								Tatro_004509
								Tatro_004512
								Tatro_004544
								Tatro_004554
								Tatro_004556
								Tatro_004574
								Tatro_004575
								Tatro_004580
								Tatro_004590
								Tatro_004592
								Tatro_004593
								Tatro_004594
								Tatro_004595
								Tatro_004611
								Tatro_004619
								Tatro_004627
								Tatro_004628
								Tatro_004629
								Tatro_004667
								Tatro_004668
								Tatro_004679
								Tatro_004680
								Tatro_004680
								Tatro_004680
								Tatro_004680
								Tatro_004681
								Tatro_004696
								Tatro_004701
								Tatro_004706
								Tatro_004709
								Tatro_004710
								Tatro_004712
								Tatro_004721
								Tatro_004722
								Tatro_004723
								Tatro_004727
								Tatro_004734
								Tatro_004736
								Tatro_004743
								Tatro_004750
								Tatro_004751
								Tatro_004760
								Tatro_004765
								Tatro_004783
								Tatro_004785
								Tatro_004789
								Tatro_004800
								Tatro_004800
								Tatro_004800
								Tatro_004800
								Tatro_004831
								Tatro_004854
								Tatro_004854
								Tatro_004854
								Tatro_004854
								Tatro_004863
								Tatro_004879
								Tatro_004894
								Tatro_004901
								Tatro_004911
								Tatro_004947
								Tatro_004973
								Tatro_004976
								Tatro_005003
								Tatro_005081
								Tatro_005084
								Tatro_005110
								Tatro_005206
								Tatro_005212
								Tatro_005246
								Tatro_005255
								Tatro_005258
								Tatro_005330
								Tatro_005342
								Tatro_005344
								Tatro_005361
								Tatro_005367
								Tatro_005377
								Tatro_005402
								Tatro_005454
								Tatro_005459
								Tatro_005462
								Tatro_005466
								Tatro_005495
								Tatro_005501
								Tatro_005502
								Tatro_005507
								Tatro_005510
								Tatro_005513
								Tatro_005545
								Tatro_005549
								Tatro_005580
								Tatro_005587
								Tatro_005605
								Tatro_005607
								Tatro_005610
								Tatro_005615
								Tatro_005629
								Tatro_005634
								Tatro_005635
								Tatro_005635
								Tatro_005635
								Tatro_005635
								Tatro_005662
								Tatro_005736
								Tatro_005792
								Tatro_005807
								Tatro_005808
								Tatro_005809
								Tatro_005832
								Tatro_005833
								Tatro_005842
								Tatro_005843
								Tatro_005872
								Tatro_005901
								Tatro_005927
								Tatro_005931
								Tatro_005943
								Tatro_005950
								Tatro_005965
								Tatro_005979
								Tatro_005996
								Tatro_005997
								Tatro_005998
								Tatro_006052
								Tatro_006096
								Tatro_006109
								Tatro_006111
								Tatro_006126
								Tatro_006132
								Tatro_006134
								Tatro_006138
								Tatro_006150
								Tatro_006155
								Tatro_006156
								Tatro_006165
								Tatro_006165
								Tatro_006165
								Tatro_006165
								Tatro_006190
								Tatro_006196
								Tatro_006199
								Tatro_006223
								Tatro_006227
								Tatro_006257
								Tatro_006291
								Tatro_006306
								Tatro_006316
								Tatro_006317
								Tatro_006320
								Tatro_006326
								Tatro_006327
								Tatro_006337
								Tatro_006338
								Tatro_006344
								Tatro_006350
								Tatro_006351
								Tatro_006352
								Tatro_006355
								Tatro_006357
								Tatro_006359
								Tatro_006360
								Tatro_006361
								Tatro_006369
								Tatro_006378
								Tatro_006398
								Tatro_006406
								Tatro_006415
								Tatro_006434
								Tatro_006435
								Tatro_006438
								Tatro_006443
								Tatro_006467
								Tatro_006481
								Tatro_006510
								Tatro_006516
								Tatro_006517
								Tatro_006537
								Tatro_006538
								Tatro_006553
								Tatro_006578
								Tatro_006591
								Tatro_006601
								Tatro_006604
								Tatro_006605
								Tatro_006606
								Tatro_006608
								Tatro_006622
								Tatro_006625
								Tatro_006632
								Tatro_006638
								Tatro_006654
								Tatro_006658
								Tatro_006659
								Tatro_006660
								Tatro_006665
								Tatro_006666
								Tatro_006671
								Tatro_006739
								Tatro_006759
								Tatro_006761
								Tatro_006775
								Tatro_006779
								Tatro_006825
								Tatro_006930
								Tatro_006938
								Tatro_007015
								Tatro_007020
								Tatro_007050
								Tatro_007086
								Tatro_007126
								Tatro_007150
								Tatro_007151
								Tatro_007152
								Tatro_007154
								Tatro_007170
								Tatro_007201
								Tatro_007203
								Tatro_007204
								Tatro_007208
								Tatro_007209
