geneid,GOid
Tatro_000789-T1,GO:0046872;GO:0003676
Tatro_004911-T1,GO:0016746;GO:0008152
Tatro_001633-T1,GO:0005515;GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_009445-T1,GO:0046872;GO:0019829;GO:0016021;GO:0006812;GO:0000166
Tatro_009872-T1,GO:0005839;GO:0004298;GO:0051603;GO:0004175
Tatro_003013-T1,GO:0055114;GO:0016491
Tatro_000517-T1,GO:0016887;GO:0055085;GO:0006810;GO:0005524;GO:0042626;GO:0016021
Tatro_000178-T1,GO:0004326;GO:0009058;GO:0005524;GO:0016874;GO:0009396
Tatro_005108-T1,GO:0016887;GO:0055085;GO:0006810;GO:0005524;GO:0042626;GO:0016021
Tatro_004846-T1,GO:0006032;GO:0005975;GO:0004553;GO:0004568
Tatro_004748-T1,GO:0003824;GO:0050662
Tatro_005681-T1,GO:0005524;GO:0003676
Tatro_007926-T1,GO:0050660;GO:0016627;GO:0055114;GO:0008152;GO:0003995
Tatro_010148-T1,GO:0005515
Tatro_001002-T1,GO:0005515;GO:0008270
Tatro_009320-T1,GO:0005515
Tatro_005977-T1,GO:0005524
Tatro_005632-T1,GO:0008603;GO:0001932;GO:0005952
Tatro_011436-T1,GO:0008408;GO:0003676;GO:0006139
Tatro_003790-T1,GO:0006886;GO:0006913;GO:0016020;GO:0005525;GO:0003924;GO:0007165;GO:0005622;GO:0007264;GO:0015031
Tatro_004811-T1,GO:0005515
Tatro_005607-T1,GO:0046872;GO:0003676
Tatro_004941-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_007348-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_011140-T1,GO:0005515
Tatro_007395-T1,GO:0005515;GO:0008092;GO:0030674;GO:0042802;GO:0043130
Tatro_004599-T1,GO:0005525
Tatro_010512-T1,GO:0006890
Tatro_010233-T1,GO:0004348;GO:0006665;GO:0005975
Tatro_006595-T1,GO:0005506;GO:0020037;GO:0016705;GO:0055114
Tatro_010679-T1,GO:0016887;GO:0005524
Tatro_001855-T1,GO:0055085
Tatro_006315-T1,GO:0004012;GO:0015914;GO:0046872;GO:0000287;GO:0005524;GO:0016021;GO:0000166
Tatro_004420-T1,GO:0000160
Tatro_008322-T1,GO:0005515;GO:0008270
Tatro_002092-T1,GO:0031177;GO:0016740;GO:0003824;GO:0008152
Tatro_005135-T1,GO:0005488
Tatro_002290-T1,GO:0016491;GO:0050660;GO:0002098;GO:0055114;GO:0008033
Tatro_000278-T1,GO:0005506;GO:0004497;GO:0055114;GO:0020037;GO:0016705
Tatro_009238-T1,GO:0016787;GO:0044237
Tatro_001275-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_003745-T1,GO:0005515
Tatro_007604-T1,GO:0004066;GO:0006529
Tatro_010804-T1,GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114;GO:0008152
Tatro_003516-T1,GO:0003824
Tatro_008265-T1,GO:0005515
Tatro_010876-T1,GO:0003824;GO:0016491;GO:0050660;GO:0055114;GO:0016614
Tatro_005523-T1,GO:0007186;GO:0016021;GO:0004932
Tatro_001358-T1,GO:0020037
Tatro_011827-T1,GO:0005737;GO:0004414;GO:0009086
Tatro_006385-T1,GO:0005515
Tatro_001837-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_000005-T1,GO:0005515
Tatro_003377-T1,GO:0005515
Tatro_009653-T1,GO:0019239
Tatro_004910-T1,GO:0004674;GO:0004672;GO:0006468;GO:0005524;GO:0000160
Tatro_002266-T1,GO:0055114;GO:0016491
Tatro_003641-T1,GO:0006270
Tatro_011384-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_000030-T1,GO:0055114;GO:0016491
Tatro_010224-T1,GO:0036374;GO:0006749
Tatro_002455-T1,GO:0005515;GO:0005622;GO:0003676;GO:0006396
Tatro_002289-T1,GO:0003824;GO:0004764;GO:0003866;GO:0003856;GO:0003855;GO:0055114;GO:0005524;GO:0009073;GO:0005737;GO:0016765;GO:0004765
Tatro_001251-T1,GO:0003677
Tatro_006478-T1,GO:0008026;GO:0003676;GO:0004386;GO:0005524
Tatro_011813-T1,GO:0008237;GO:0006508;GO:0008233
Tatro_007187-T1,GO:0003824;GO:0031177;GO:0008152
Tatro_009806-T1,GO:0005975
Tatro_011151-T1,GO:0005515
Tatro_002722-T1,GO:0010181;GO:0003824;GO:0016491;GO:0055114
Tatro_000708-T1,GO:0004707;GO:0004672;GO:0006468;GO:0005524
Tatro_008424-T1,GO:0006012;GO:0016301;GO:0046835;GO:0005524;GO:0008152;GO:0004335;GO:0005737;GO:0016773
Tatro_006330-T1,GO:0046982;GO:0005634;GO:0006352;GO:0051090;GO:0005488
Tatro_003357-T1,GO:0016226;GO:0005506;GO:0051536
Tatro_008598-T1,GO:0005515
Tatro_009844-T1,GO:0007165;GO:0008270
Tatro_009739-T1,GO:0005524
Tatro_004928-T1,GO:0004729;GO:0016491;GO:0055114;GO:0006779
Tatro_011885-T1,GO:0005515
Tatro_002504-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_003554-T1,GO:0010181;GO:0003824;GO:0016491;GO:0055114;GO:0020037
Tatro_009497-T1,GO:0016020;GO:0006810;GO:0005215;GO:0006857
Tatro_007428-T1,GO:0005524;GO:0003682
Tatro_002941-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_005483-T1,GO:0003824;GO:0016491;GO:0050660;GO:0055114;GO:0016614
Tatro_005104-T1,GO:0005515;GO:0046872;GO:0008270
Tatro_002310-T1,GO:0006508;GO:0004252
Tatro_004450-T1,GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114;GO:0008152
Tatro_010567-T1,GO:0005515
Tatro_009911-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_010894-T1,GO:0055114;GO:0016491;GO:0008152;GO:0016620
Tatro_007561-T1,GO:0005509;GO:0005544
Tatro_001554-T1,GO:0016787;GO:0008152
Tatro_010384-T1,GO:0006508;GO:0004252
Tatro_006897-T1,GO:0055114;GO:0016491
Tatro_002575-T1,GO:0006457;GO:0051082;GO:0031072
Tatro_006726-T1,GO:0005509;GO:0055085
Tatro_010333-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_003286-T1,GO:0016491;GO:0008152
Tatro_007349-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_008668-T1,GO:0006561;GO:0004349;GO:0005737;GO:0003723
Tatro_009051-T1,GO:0003824;GO:0030246;GO:0005975
Tatro_010911-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_002372-T1,GO:0003824;GO:0008152
Tatro_001235-T1,GO:0046488;GO:0016307
Tatro_005486-T1,GO:0019773;GO:0005839;GO:0004298;GO:0051603;GO:0006511;GO:0004175
Tatro_000116-T1,GO:0006535
Tatro_002473-T1,GO:0016787
Tatro_001334-T1,GO:0003677;GO:0006352
Tatro_009892-T1,GO:0046982
Tatro_010545-T1,GO:0016787;GO:0047429;GO:0009143
Tatro_005747-T1,GO:0055114;GO:0016491;GO:0008152;GO:0016620
